"Laikotarpis","Rodiklis","Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP):Kodas","Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP):Pavadinimas","Lyginimas","Matavimo vienetai","Reikšmė"
"2025M12","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","3.8"
"2025M11","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","3.7"
"2025M10","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","3.5"
"2025M09","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","3.2"
"2025M08","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","2.9"
"2025M07","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","2.6"
"2025M06","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","2.3"
"2025M05","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","2.1"
"2025M04","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.9"
"2025M03","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.5"
"2025M02","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.2"
